city,state,target_university,target_edu_level,target_edu_year,target_edu_major,target_edu_college,highest_edu_university,highest_edu_level,highest_edu_year,highest_edu_college,current_job_category,current_employer,current_employer_start_year,current_employer_industry,estimated_salary
fairburn,georgia,kennesaw state university,masters,2004,information technology,college of computing and software engineering,kennesaw state university,masters,2004,computer and information sciences,business,cricket wireless,2015,telecommunications,105906
chattanooga,tennessee,kennesaw state university,bachelors,2020,software engineering,college of computing and software engineering,kennesaw state university,bachelors,2020,computer and information sciences,information technology,phosphorus cybersecurity inc.,2024,information technology,78399
atlanta,georgia,kennesaw state university,masters,2005,business administration,coles college of business,kennesaw state university,masters,2005,business,finance,children's healthcare of atlanta,2016,healthcare,114645
marietta,georgia,kennesaw state university,bachelors,2004,,,kennesaw state university,bachelors,2004,computer and information sciences,,ibm,2011,information technology,0
atlanta,georgia,kennesaw state university,masters,2012,,,kennesaw state university,masters,2012,accounting,management,verizon,2025,information technology,112721
kennesaw,georgia,kennesaw state university,bachelors,2009,finance,coles college of business,kennesaw state university,bachelors,2009,,accounting,georgia banking company,2021,finance,55716
atlanta,georgia,kennesaw state university,bachelors,2015,nursing,wellstar college of health and human services,kennesaw state university,bachelors,2015,health care,health care,children's healthcare of atlanta,2024,healthcare,69505
woodstock,georgia,kennesaw state university,bachelors,2011,chemistry,college of science and mathematics,kennesaw state university,bachelors,2011,physical sciences,military,dow,2014,manufacturing,105580
roswell,georgia,kennesaw state university,bachelors,,organizational and professional communication,radow college of humanities and social sciences,kennesaw state university,bachelors,,communications,finance,ameriprise auto & home insurance,2017,insurance,63666
chapel hill,north carolina,kennesaw state university,bachelors,1993,history,radow college of humanities and social sciences,kennesaw state university,bachelors,1993,social sciences & liberal arts,logistics,university of north carolina at chapel hill,2019,education,92806
atlanta,georgia,kennesaw state university,bachelors,2020,computer science,college of computing and software engineering,kennesaw state university,bachelors,2020,computer and information sciences,information technology,chick-fil-a,2025,hospitality,94100
marietta,georgia,kennesaw state university,bachelors,2018,psychology,radow college of humanities and social sciences,kennesaw state university,bachelors,2018,psychology & counseling,,cinc,2022,real estate,0
atlanta,georgia,kennesaw state university,bachelors,2021,finance,coles college of business,kennesaw state university,bachelors,2021,finance,finance,marketsource inc.,2024,marketing,93013
atlanta,georgia,kennesaw state university,bachelors,2021,computer science,college of computing and software engineering,kennesaw state university,bachelors,2021,computer and information sciences,business,capgemini,2024,information technology,95380
atlanta,georgia,kennesaw state university,masters,2016,professional writing,radow college of humanities and social sciences,kennesaw state university,masters,2016,languages and literature,executive,emory university,2021,education,131833
powder springs,georgia,kennesaw state university,bachelors,2023,management,coles college of business,kennesaw state university,bachelors,2023,,customer service,publix super markets,2024,retail,82707
cartersville,georgia,kennesaw state university,bachelors,2017,management,coles college of business,kennesaw state university,bachelors,2017,business,research,teksystems,2018,information technology,57541
atlanta,georgia,kennesaw state university,bachelors,2015,accounting,coles college of business,kennesaw state university,bachelors,2015,accounting,accounting,pivot cpas,2024,accounting,58527
